Alticorpus geoffreyi
Alticorpus macrocleithrum
Alticorpus mentale
Alticorpus peterdaviesi
Alticus anjouanae
Alticus kirkii
Alticus monochrus
Alticus montanoi
Alticus saliens
Altolamprologus calvus
Altolamprologus compressiceps
Altrichthys azurelineatus
Altrichthys curatus
Aluterus heudelotii
Aluterus monoceros
Aluterus schoepfii
Aluterus scriptus
Amanses scopas
Amaralia hypsiura
Amatitlania altoflava
Amatitlania myrnae
Amatitlania nanolutea
Amatitlania nigrofasciata
Amatitlania sajica
Amatitlania septemfasciata
Amatitlania siquia
Amazonsprattus scintilla
Ambassis agrammus
Ambassis ambassis
Ambassis buruensis
Ambassis dussumieri
Ambassis gymnocephalus
Ambassis interrupta
Ambassis kopsii
Ambassis macleayi
Ambassis macracanthus
Ambassis marianus
Ambassis miops
Ambassis nalua
Ambassis natalensis
Ambassis urotaenia
Ambassis vachellii
Ambastaia nigrolineata
Ambastaia sidthimunki
Ambiserrula jugosa
Ambloplites ariommus
Ambloplites cavifrons
Ambloplites constellatus
Ambloplites rupestris
Amblyceps apangi
Amblyceps arunachalense
Amblyceps cerinum
Amblyceps foratum
Amblyceps mangois
Amblyceps platycephalus
Amblyceps protentum
Amblychaeturichthys hexanema
Amblychaeturichthys sciistius
Amblycirrhitus bimacula
Amblycirrhitus earnshawi
Amblycirrhitus pinos
Amblycirrhitus unimacula
Amblydoras affinis
Amblydoras nauticus
Amblydoras nheco
Amblyeleotris arcupinna
Amblyeleotris aurora
Amblyeleotris bellicauda
Amblyeleotris biguttata
Amblyeleotris bleekeri
Amblyeleotris diagonalis
Amblyeleotris downingi
Amblyeleotris ellipse
Amblyeleotris fasciata
Amblyeleotris fontanesii
Amblyeleotris guttata
Amblyeleotris gymnocephala
Amblyeleotris harrisorum
Amblyeleotris japonica
Amblyeleotris latifasciata
Amblyeleotris marquesas
Amblyeleotris masuii
Amblyeleotris morishitai
Amblyeleotris neglecta
Amblyeleotris neumanni
Amblyeleotris novaecaledoniae
Amblyeleotris ogasawarensis
Amblyeleotris periophthalma
Amblyeleotris randalli
Amblyeleotris rhyax
Amblyeleotris rubrimarginata
Amblyeleotris steinitzi
Amblyeleotris stenotaeniata
Amblyeleotris sungami
Amblyeleotris triguttata
Amblyeleotris wheeleri
Amblyeleotris yanoi
Amblygaster leiogaster
Amblygaster sirm
Amblyglyphidodon aureus
Amblyglyphidodon curacao
Amblyglyphidodon flavilatus
Amblyglyphidodon flavopurpureus
Amblyglyphidodon indicus
Amblyglyphidodon leucogaster
Amblyglyphidodon melanopterus
Amblyglyphidodon orbicularis
Amblyglyphidodon silolona
Amblyglyphidodon ternatensis
Amblygobius albimaculatus
Amblygobius buanensis
Amblygobius bynoensis
Amblygobius calvatus
Amblygobius cheraphilus
Amblygobius decussatus
Amblygobius esakiae
Amblygobius linki
Amblygobius magnusi
Amblygobius nocturnus
Amblygobius phalaena
Amblygobius semicinctus
Amblygobius sphynx
Amblygobius stethophthalmus
Amblyopsis rosae
Amblypharyngodon atkinsonii
Amblypharyngodon chulabhornae
Amblypharyngodon melettinus
Amblypharyngodon microlepis
Amblypharyngodon mola
Amblypomacentrus breviceps
Amblypomacentrus clarus
Amblyraja doellojuradoi
Amblyraja frerichsi
Amblyraja georgiana
Amblyraja hyperborea
Amblyraja jenseni
Amblyraja radiata
Amblyrhynchichthys micracanthus
Amblyrhynchichthys truncatus
Amblyrhynchote honckenii
Ameca splendens
Ameiurus brunneus
Ameiurus catus
Ameiurus melas
Ameiurus natalis
Ameiurus nebulosus
Ameiurus platycephalus
Ameiurus serracanthus
Amia calva
Amioides polyacanthus
Ammocrypta beanii
Ammocrypta bifascia
Ammocrypta clara
Ammocrypta pellucida
Ammocrypta vivax
Ammocryptocharax elegans
Ammocryptocharax minutus
Ammodytes americanus
Ammodytes dubius
Ammodytes hexapterus
Ammodytes marinus
Ammodytes personatus
Ammodytes tobianus
Ammodytoides gilli
Ammodytoides pylei
Ammodytoides xanthops
Ammolabrus dicrus
Ammotretis elongatus
Amniataba caudavittata
Amniataba percoides
Amphiarius phrygiatus
Amphiarius rugispinis
Amphichaetodon howensis
Amphichaetodon melbae
Amphichthys cryptocentrus
Amphilius atesuensis
Amphilius brevis
Amphilius chalei
Amphilius dimonikensis
Amphilius grandis
Amphilius jacksonii
Amphilius kakrimensis
Amphilius mamonekenensis
Amphilius natalensis
Amphilius platychir
Amphilius pulcher
Amphilius rheophilus
Amphilius uranoscopus
Amphilophus amarillo
Amphilophus astorquii
Amphilophus citrinellus
Amphilophus hogaboomorum
Amphilophus istlanus
Amphilophus labiatus
Amphilophus lyonsi
Amphilophus margaritifer
Amphilophus sagittae
Amphilophus trimaculatus
Amphilophus xiloaensis
Amphilophus zaliosus
Amphiprion akallopisos
Amphiprion akindynos
Amphiprion allardi
Amphiprion barberi
Amphiprion biaculeatus
Amphiprion bicinctus
Amphiprion chagosensis
Amphiprion chrysogaster
Amphiprion chrysopterus
Amphiprion clarkii
Amphiprion ephippium
Amphiprion frenatus
Amphiprion fuscocaudatus
Amphiprion latezonatus
Amphiprion latifasciatus
Amphiprion leucokranos
Amphiprion mccullochi
Amphiprion melanopus
Amphiprion nigripes
Amphiprion ocellaris
Amphiprion omanensis
Amphiprion pacificus
Amphiprion percula
Amphiprion perideraion
Amphiprion polymnus
Amphiprion rubrocinctus
Amphiprion sandaracinos
Amphiprion sebae
Amphiprion thiellei
Amphiprion tricinctus
Amphistichus argenteus
Amphistichus koelzi
Amphistichus rhodoterus
Amsichthys knighti
Anabarilius grahami
Anabas cobojius
Anabas testudineus
Anableps anableps
Anableps dowii
Anableps microlepis
Anablepsoides amphoreus
Anablepsoides atratus
Anablepsoides beniensis
Anablepsoides caurae
Anablepsoides christinae
Anablepsoides cryptocallus
Anablepsoides deltaphilus
Anablepsoides derhami
Anablepsoides hartii
Anablepsoides iridescens
Anablepsoides limoncochae
Anablepsoides ophiomimus
Anablepsoides ornatus
Anablepsoides peruanus
Anablepsoides roraima
Anablepsoides rubrolineatus
Anablepsoides speciosus
Anablepsoides stagnatus
Anablepsoides urophthalmus
Anablepsoides waimacui
Anacanthobatis marmorata
Anacanthus barbatus
Anadoras grypus
Anadoras weddellii
Anaecypris hispanica
Anampses caeruleopunctatus
Anampses chrysocephalus
Anampses cuvier
Anampses elegans
Anampses femininus
Anampses geographicus
Anampses lennardi
Anampses lineatus
Anampses melanurus
Anampses meleagrides
Anampses neoguinaicus
Anampses twistii
Anaora tentaculata
Anarchias allardicei
